NAME,B25059_001E,state,county,tract
"Census Tract 1401, Cook County, Illinois",1432,17,031,140100
"Census Tract 1402, Cook County, Illinois",1392,17,031,140200
"Census Tract 1403.01, Cook County, Illinois",1301,17,031,140301
"Census Tract 1403.02, Cook County, Illinois",1392,17,031,140302
"Census Tract 1404, Cook County, Illinois",1254,17,031,140400
"Census Tract 1405, Cook County, Illinois",1260,17,031,140500
"Census Tract 1406.01, Cook County, Illinois",1216,17,031,140601
"Census Tract 1406.02, Cook County, Illinois",1461,17,031,140602
"Census Tract 1407.01, Cook County, Illinois",1417,17,031,140701
"Census Tract 1407.02, Cook County, Illinois",1239,17,031,140702
"Census Tract 1408, Cook County, Illinois",1678,17,031,140800
"Census Tract 1502, Cook County, Illinois",1361,17,031,150200
"Census Tract 1503, Cook County, Illinois",1385,17,031,150300
"Census Tract 1504.01, Cook County, Illinois",1183,17,031,150401
"Census Tract 1504.02, Cook County, Illinois",1119,17,031,150402
"Census Tract 1505.01, Cook County, Illinois",1673,17,031,150501
"Census Tract 1505.02, Cook County, Illinois",1303,17,031,150502
"Census Tract 1506, Cook County, Illinois",1725,17,031,150600
"Census Tract 1507, Cook County, Illinois",1490,17,031,150700
"Census Tract 1508, Cook County, Illinois",1229,17,031,150800
"Census Tract 1510.01, Cook County, Illinois",1260,17,031,151001
"Census Tract 1510.02, Cook County, Illinois",1244,17,031,151002
"Census Tract 1511, Cook County, Illinois",1194,17,031,151100
"Census Tract 1512, Cook County, Illinois",1238,17,031,151200
"Census Tract 1601, Cook County, Illinois",1493,17,031,160100
"Census Tract 1602, Cook County, Illinois",1359,17,031,160200
"Census Tract 1603, Cook County, Illinois",1206,17,031,160300
"Census Tract 1604, Cook County, Illinois",1379,17,031,160400
"Census Tract 1605.01, Cook County, Illinois",1400,17,031,160501
"Census Tract 1605.02, Cook County, Illinois",1220,17,031,160502
"Census Tract 1606.01, Cook County, Illinois",1653,17,031,160601
"Census Tract 1606.02, Cook County, Illinois",1224,17,031,160602
"Census Tract 1607, Cook County, Illinois",1359,17,031,160700
"Census Tract 1608, Cook County, Illinois",1486,17,031,160800
"Census Tract 1609, Cook County, Illinois",1352,17,031,160900
"Census Tract 1610, Cook County, Illinois",1791,17,031,161000
"Census Tract 1611, Cook County, Illinois",1418,17,031,161100
"Census Tract 1612, Cook County, Illinois",1214,17,031,161200
"Census Tract 1613, Cook County, Illinois",1123,17,031,161300
"Census Tract 1701, Cook County, Illinois",1871,17,031,170100
"Census Tract 1702, Cook County, Illinois",1350,17,031,170200
"Census Tract 1703, Cook County, Illinois",1320,17,031,170300
"Census Tract 1704, Cook County, Illinois",1619,17,031,170400
"Census Tract 1705, Cook County, Illinois",1390,17,031,170500
