NAME,S1903_C03_001E,state,county,tract
Census Tract 2002; Cook County; Illinois,64583,17,031,200200
Census Tract 2003; Cook County; Illinois,50515,17,031,200300
Census Tract 2004.01; Cook County; Illinois,70046,17,031,200401
Census Tract 2004.02; Cook County; Illinois,77288,17,031,200402
Census Tract 2101; Cook County; Illinois,107717,17,031,210100
Census Tract 2104; Cook County; Illinois,63077,17,031,210400
Census Tract 2105.01; Cook County; Illinois,61678,17,031,210501
Census Tract 2105.02; Cook County; Illinois,74855,17,031,210502
Census Tract 2106.01; Cook County; Illinois,93547,17,031,210601
Census Tract 2106.02; Cook County; Illinois,102625,17,031,210602
Census Tract 2107; Cook County; Illinois,93026,17,031,210700
Census Tract 2108; Cook County; Illinois,96579,17,031,210800
Census Tract 2109; Cook County; Illinois,109844,17,031,210900
Census Tract 2203; Cook County; Illinois,100461,17,031,220300
Census Tract 2204; Cook County; Illinois,114803,17,031,220400
Census Tract 2205; Cook County; Illinois,94867,17,031,220500
Census Tract 2206.01; Cook County; Illinois,120427,17,031,220601
Census Tract 2206.02; Cook County; Illinois,61875,17,031,220602
Census Tract 2207.01; Cook County; Illinois,75625,17,031,220701
Census Tract 2207.02; Cook County; Illinois,79969,17,031,220702
Census Tract 2209.01; Cook County; Illinois,62917,17,031,220901
Census Tract 2209.02; Cook County; Illinois,73239,17,031,220902
Census Tract 2210; Cook County; Illinois,82102,17,031,221000
Census Tract 2211; Cook County; Illinois,87478,17,031,221100
Census Tract 2212; Cook County; Illinois,128243,17,031,221200
Census Tract 2213; Cook County; Illinois,81264,17,031,221300
Census Tract 2214; Cook County; Illinois,104583,17,031,221400
Census Tract 2215; Cook County; Illinois,62500,17,031,221500
Census Tract 2216; Cook County; Illinois,135236,17,031,221600
Census Tract 2222; Cook County; Illinois,184727,17,031,222200
Census Tract 2225; Cook County; Illinois,147582,17,031,222500
Census Tract 2226; Cook County; Illinois,90313,17,031,222600
Census Tract 2227; Cook County; Illinois,80391,17,031,222700
Census Tract 2228; Cook County; Illinois,84239,17,031,222800
Census Tract 2229; Cook County; Illinois,100847,17,031,222900
Census Tract 2301; Cook County; Illinois,90833,17,031,230100
Census Tract 2302; Cook County; Illinois,72083,17,031,230200
Census Tract 2303; Cook County; Illinois,58696,17,031,230300
Census Tract 2304; Cook County; Illinois,51495,17,031,230400
Census Tract 2305; Cook County; Illinois,28413,17,031,230500
Census Tract 2306; Cook County; Illinois,55304,17,031,230600
Census Tract 2307; Cook County; Illinois,32576,17,031,230700
Census Tract 2308; Cook County; Illinois,68485,17,031,230800
Census Tract 2309; Cook County; Illinois,70926,17,031,230900
Census Tract 2311; Cook County; Illinois,60333,17,031,231100
Census Tract 2312; Cook County; Illinois,39917,17,031,231200
Census Tract 2315; Cook County; Illinois,37237,17,031,231500
Census Tract 2402; Cook County; Illinois,166458,17,031,240200
Census Tract 2403; Cook County; Illinois,161125,17,031,240300
Census Tract 2405; Cook County; Illinois,171962,17,031,240500
Census Tract 2406; Cook County; Illinois,157938,17,031,240600
Census Tract 2407; Cook County; Illinois,102102,17,031,240700
Census Tract 2408; Cook County; Illinois,130278,17,031,240800
Census Tract 2409; Cook County; Illinois,76429,17,031,240900
Census Tract 2410; Cook County; Illinois,90185,17,031,241000
Census Tract 2411; Cook County; Illinois,92927,17,031,241100
Census Tract 2412; Cook County; Illinois,131875,17,031,241200
