id,census_tract_id,sub_group_indicator_name,year,value
688,300600,median_rent,2018,712
689,310700,median_rent,2018,713
690,490901,median_rent,2018,730
691,490902,median_rent,2018,785
692,530502,median_rent,2018,1101
693,711500,median_rent,2018,1147
694,730600,median_rent,2018,664
695,740200,median_rent,2018,1083
696,750100,median_rent,2018,625
697,823605,median_rent,2018,737
698,823803,median_rent,2018,1022
699,824506,median_rent,2018,1100
700,824701,median_rent,2018,866
701,825200,median_rent,2018,1310
702,825801,median_rent,2018,836
703,827700,median_rent,2018,1055
704,827902,median_rent,2018,976
705,828100,median_rent,2018,872
706,828602,median_rent,2018,1444
707,805111,median_rent,2018,984
708,805901,median_rent,2018,1451
709,806002,median_rent,2018,1151
710,834600,median_rent,2018,583
711,834700,median_rent,2018,722
712,834800,median_rent,2018,526
713,834900,median_rent,2018,654
714,835000,median_rent,2018,673
715,835100,median_rent,2018,765
716,835200,median_rent,2018,729
717,835500,median_rent,2018,377
718,835600,median_rent,2018,458
719,835700,median_rent,2018,848
720,222700,median_rent,2018,1013
721,231200,median_rent,2018,813
722,231500,median_rent,2018,731
723,240500,median_rent,2018,1924
724,240900,median_rent,2018,921
725,242200,median_rent,2018,1479
726,243500,median_rent,2018,1840
727,250500,median_rent,2018,689
728,251000,median_rent,2018,756
729,190900,median_rent,2018,867
730,200300,median_rent,2018,792
731,110100,median_rent,2018,977
732,110200,median_rent,2018,961
733,130200,median_rent,2018,850
734,803005,median_rent,2018,953
735,803300,median_rent,2018,1271
736,803605,median_rent,2018,978
737,271800,median_rent,2018,340
738,280800,median_rent,2018,361
739,280900,median_rent,2018,401
740,281900,median_rent,2018,1768
741,291200,median_rent,2018,832
742,803902,median_rent,2018,1453
743,320600,median_rent,2018,1842
744,350400,median_rent,2018,280
745,804810,median_rent,2018,1039
746,804901,median_rent,2018,1063
747,805301,median_rent,2018,815
748,805302,median_rent,2018,1664
749,805402,median_rent,2018,1353
750,806300,median_rent,2018,943
751,807100,median_rent,2018,1782
752,808200,median_rent,2018,1304
753,808500,median_rent,2018,-666666666
754,812900,median_rent,2018,1109
755,813100,median_rent,2018,1071
756,813200,median_rent,2018,1014
757,813400,median_rent,2018,896
758,814100,median_rent,2018,743
759,291600,median_rent,2018,770
760,292400,median_rent,2018,865
761,301100,median_rent,2018,540
762,301600,median_rent,2018,645
763,805902,median_rent,2018,1118
764,806102,median_rent,2018,829
765,806900,median_rent,2018,1545
766,808400,median_rent,2018,1297
767,808600,median_rent,2018,1832
768,310500,median_rent,2018,802
769,310900,median_rent,2018,776
770,843800,median_rent,2018,939
771,40201,median_rent,2018,1245
772,40202,median_rent,2018,1009
773,40401,median_rent,2018,1238
774,61901,median_rent,2018,1283
775,61902,median_rent,2018,1292
776,31501,median_rent,2018,598
777,31502,median_rent,2018,744
778,40402,median_rent,2018,1169
779,70101,median_rent,2018,1323
780,63301,median_rent,2018,1211
781,63303,median_rent,2018,2481
782,63302,median_rent,2018,1372
783,70102,median_rent,2018,1287
784,70103,median_rent,2018,1298
785,80201,median_rent,2018,1498
786,80202,median_rent,2018,1380
787,81201,median_rent,2018,1765
788,81202,median_rent,2018,1496
789,81401,median_rent,2018,1821
790,81402,median_rent,2018,2143
791,81403,median_rent,2018,2021
792,110501,median_rent,2018,975
793,110502,median_rent,2018,998
794,140301,median_rent,2018,928
795,140302,median_rent,2018,936
796,140602,median_rent,2018,950
797,808100,median_rent,2018,1125
798,818600,median_rent,2018,932
799,819700,median_rent,2018,-666666666
800,819802,median_rent,2018,847
801,820103,median_rent,2018,1006
802,820700,median_rent,2018,862
803,822701,median_rent,2018,860
804,823001,median_rent,2018,929
805,823002,median_rent,2018,869
806,823101,median_rent,2018,946
807,640700,median_rent,2018,993
808,650100,median_rent,2018,743
809,461000,median_rent,2018,291
810,480300,median_rent,2018,795
811,51000,median_rent,2018,1427
812,51400,median_rent,2018,1525
813,60800,median_rent,2018,1572
814,62600,median_rent,2018,1488
815,71000,median_rent,2018,1905
816,90100,median_rent,2018,871
817,150600,median_rent,2018,873
818,815100,median_rent,2018,860
819,818100,median_rent,2018,1401
820,161100,median_rent,2018,1252
821,161200,median_rent,2018,895
822,170200,median_rent,2018,955
823,221000,median_rent,2018,986
824,230200,median_rent,2018,955
825,230500,median_rent,2018,711
826,241200,median_rent,2018,1510
827,242800,median_rent,2018,1351
828,243200,median_rent,2018,1350
829,260300,median_rent,2018,736
830,260400,median_rent,2018,818
831,261000,median_rent,2018,800
832,270500,median_rent,2018,648
833,271500,median_rent,2018,803
834,230600,median_rent,2018,770
835,221500,median_rent,2018,921
836,230100,median_rent,2018,944
837,240300,median_rent,2018,1582
838,241300,median_rent,2018,1943
839,241500,median_rent,2018,1527
840,241600,median_rent,2018,1457
841,30300,median_rent,2018,924
842,31200,median_rent,2018,713
843,410900,median_rent,2018,1086
844,430300,median_rent,2018,797
845,320400,median_rent,2018,2285
846,20500,median_rent,2018,935
847,31800,median_rent,2018,1028
848,32100,median_rent,2018,1052
849,40100,median_rent,2018,1141
850,50300,median_rent,2018,1306
851,51200,median_rent,2018,1602
852,61800,median_rent,2018,1312
853,62300,median_rent,2018,1801
854,70400,median_rent,2018,1078
855,70600,median_rent,2018,1720
856,71300,median_rent,2018,1429
857,80300,median_rent,2018,1878
858,81600,median_rent,2018,2136
859,81800,median_rent,2018,2196
860,81900,median_rent,2018,333
861,770602,median_rent,2018,900
862,770901,median_rent,2018,963
863,770902,median_rent,2018,904
864,802003,median_rent,2018,1004
865,802004,median_rent,2018,987
866,823702,median_rent,2018,964
867,825000,median_rent,2018,805
868,826201,median_rent,2018,766
869,826301,median_rent,2018,862
870,827200,median_rent,2018,637
871,827802,median_rent,2018,1349
872,828504,median_rent,2018,1016
873,828801,median_rent,2018,1633
874,829200,median_rent,2018,811
875,829301,median_rent,2018,1088
876,340400,median_rent,2018,725
877,360200,median_rent,2018,782
878,190800,median_rent,2018,922
879,191200,median_rent,2018,847
880,210100,median_rent,2018,986
881,220400,median_rent,2018,1480
882,240800,median_rent,2018,936
883,243000,median_rent,2018,1197
884,250800,median_rent,2018,684
885,251700,median_rent,2018,866
886,818401,median_rent,2018,1068
887,816500,median_rent,2018,739
888,420600,median_rent,2018,782
889,440800,median_rent,2018,762
890,460200,median_rent,2018,548
891,802403,median_rent,2018,1266
892,802404,median_rent,2018,1157
893,802505,median_rent,2018,953
894,802506,median_rent,2018,1073
895,802607,median_rent,2018,1658
896,802608,median_rent,2018,947
897,802609,median_rent,2018,1033
898,802610,median_rent,2018,1393
899,803012,median_rent,2018,1167
900,803013,median_rent,2018,1262
