census_tract_id,indicator_name,value,year
660600,agg_rent,873300,2021
660700,agg_rent,206800,2021
660800,agg_rent,1067400,2021
660900,agg_rent,886600,2021
661000,agg_rent,780200,2021
661100,agg_rent,389900,2021
670100,agg_rent,128900,2021
670200,agg_rent,151200,2021
670300,agg_rent,120500,2021
670400,agg_rent,276200,2021
670500,agg_rent,192700,2021
670600,agg_rent,94400,2021
670700,agg_rent,139600,2021
670800,agg_rent,193100,2021
670900,agg_rent,223500,2021
671100,agg_rent,210200,2021
671200,agg_rent,113500,2021
671300,agg_rent,214400,2021
671400,agg_rent,97900,2021
671500,agg_rent,296200,2021
671600,agg_rent,410500,2021
671800,agg_rent,145600,2021
671900,agg_rent,128500,2021
672000,agg_rent,301800,2021
680500,agg_rent,226000,2021
680600,agg_rent,285300,2021
680900,agg_rent,1094200,2021
681000,agg_rent,273800,2021
681100,agg_rent,337000,2021
681200,agg_rent,427300,2021
681300,agg_rent,560300,2021
681400,agg_rent,289000,2021
690300,agg_rent,461100,2021
690400,agg_rent,809200,2021
690500,agg_rent,125100,2021
690900,agg_rent,830400,2021
691000,agg_rent,541300,2021
691100,agg_rent,257700,2021
691200,agg_rent,494900,2021
691300,agg_rent,532700,2021
691400,agg_rent,532500,2021
691500,agg_rent,449500,2021
700100,agg_rent,194900,2021
700200,agg_rent,228600,2021
700301,agg_rent,250700,2021
700302,agg_rent,327600,2021
700401,agg_rent,411100,2021
700402,agg_rent,120000,2021
700501,agg_rent,458300,2021
700502,agg_rent,159700,2021
710100,agg_rent,217700,2021
710200,agg_rent,817600,2021
710300,agg_rent,231100,2021
710400,agg_rent,906000,2021
710500,agg_rent,662600,2021
710600,agg_rent,423000,2021
710700,agg_rent,613300,2021
710800,agg_rent,1003600,2021
710900,agg_rent,274600,2021
711000,agg_rent,425100,2021
711100,agg_rent,186600,2021
711200,agg_rent,437300,2021
711300,agg_rent,359100,2021
711400,agg_rent,279700,2021
711500,agg_rent,245800,2021
720100,agg_rent,0,2021
720200,agg_rent,403300,2021
720300,agg_rent,129900,2021
720400,agg_rent,68200,2021
720500,agg_rent,54500,2021
720600,agg_rent,58200,2021
720700,agg_rent,406100,2021
730100,agg_rent,121000,2021
730201,agg_rent,1022700,2021
730202,agg_rent,302100,2021
730300,agg_rent,97100,2021
730400,agg_rent,443300,2021
730500,agg_rent,219800,2021
730600,agg_rent,236300,2021
730700,agg_rent,124600,2021
740100,agg_rent,146000,2021
740200,agg_rent,577400,2021
740300,agg_rent,229300,2021
740400,agg_rent,523100,2021
750100,agg_rent,399200,2021
750200,agg_rent,516900,2021
750300,agg_rent,154900,2021
750400,agg_rent,176900,2021
750500,agg_rent,1251600,2021
750600,agg_rent,327600,2021
760801,agg_rent,2599700,2021
760802,agg_rent,182500,2021
760803,agg_rent,2034400,2021
770201,agg_rent,1672400,2021
770202,agg_rent,70300,2021
770300,agg_rent,1271800,2021
770400,agg_rent,764500,2021
770500,agg_rent,182800,2021
770601,agg_rent,112800,2021
770602,agg_rent,876000,2021
770700,agg_rent,559000,2021
770800,agg_rent,703100,2021
770901,agg_rent,393700,2021
770902,agg_rent,516000,2021
