NAME,B25060_001E,state,county,tract
Census Tract 3007; Cook County; Illinois,767700,17,031,300700
Census Tract 3008; Cook County; Illinois,713300,17,031,300800
Census Tract 3009; Cook County; Illinois,502200,17,031,300900
Census Tract 3011; Cook County; Illinois,411200,17,031,301100
Census Tract 3012; Cook County; Illinois,816900,17,031,301200
Census Tract 3016; Cook County; Illinois,403600,17,031,301600
Census Tract 3017.01; Cook County; Illinois,483600,17,031,301701
Census Tract 3017.02; Cook County; Illinois,545200,17,031,301702
Census Tract 3018.01; Cook County; Illinois,535000,17,031,301801
Census Tract 3018.02; Cook County; Illinois,374400,17,031,301802
Census Tract 3018.03; Cook County; Illinois,648500,17,031,301803
Census Tract 3102; Cook County; Illinois,880600,17,031,310200
Census Tract 3103; Cook County; Illinois,561200,17,031,310300
Census Tract 3104; Cook County; Illinois,469300,17,031,310400
Census Tract 3105; Cook County; Illinois,526500,17,031,310500
Census Tract 3106; Cook County; Illinois,1891500,17,031,310600
Census Tract 3107; Cook County; Illinois,577400,17,031,310700
Census Tract 3108; Cook County; Illinois,1277700,17,031,310800
Census Tract 3109; Cook County; Illinois,1271500,17,031,310900
Census Tract 3201.01; Cook County; Illinois,7372700,17,031,320101
Census Tract 3201.02; Cook County; Illinois,5783200,17,031,320102
Census Tract 3204; Cook County; Illinois,647300,17,031,320400
Census Tract 3206; Cook County; Illinois,5099000,17,031,320600
Census Tract 3301.01; Cook County; Illinois,2609900,17,031,330101
Census Tract 3301.02; Cook County; Illinois,6856600,17,031,330102
Census Tract 3301.03; Cook County; Illinois,4734100,17,031,330103
Census Tract 3302; Cook County; Illinois,827500,17,031,330200
Census Tract 3403; Cook County; Illinois,303100,17,031,340300
Census Tract 3404; Cook County; Illinois,494400,17,031,340400
Census Tract 3405; Cook County; Illinois,423900,17,031,340500
Census Tract 3406; Cook County; Illinois,192600,17,031,340600
Census Tract 3501; Cook County; Illinois,2007900,17,031,350100
Census Tract 3504; Cook County; Illinois,449800,17,031,350400
Census Tract 3510; Cook County; Illinois,2935800,17,031,351000
Census Tract 3511; Cook County; Illinois,489100,17,031,351100
Census Tract 3514; Cook County; Illinois,532600,17,031,351400
Census Tract 3515; Cook County; Illinois,426400,17,031,351500
Census Tract 3602; Cook County; Illinois,615600,17,031,360200
Census Tract 3801; Cook County; Illinois,246100,17,031,380100
Census Tract 3802; Cook County; Illinois,679800,17,031,380200
Census Tract 3806; Cook County; Illinois,1125500,17,031,380600
Census Tract 3812; Cook County; Illinois,778300,17,031,381200
Census Tract 3814; Cook County; Illinois,583000,17,031,381400
Census Tract 3815; Cook County; Illinois,263200,17,031,381500
Census Tract 3817; Cook County; Illinois,-666666666,17,031,381700
Census Tract 3818; Cook County; Illinois,574600,17,031,381800
Census Tract 3819; Cook County; Illinois,245500,17,031,381900
Census Tract 3901; Cook County; Illinois,486700,17,031,390100
Census Tract 3902; Cook County; Illinois,445700,17,031,390200
Census Tract 3903; Cook County; Illinois,1132400,17,031,390300
Census Tract 3904; Cook County; Illinois,755900,17,031,390400
Census Tract 3905; Cook County; Illinois,784400,17,031,390500
Census Tract 3906; Cook County; Illinois,619900,17,031,390600
Census Tract 3907; Cook County; Illinois,3453000,17,031,390700
Census Tract 4003; Cook County; Illinois,453600,17,031,400300
Census Tract 4004; Cook County; Illinois,820900,17,031,400400
Census Tract 4005; Cook County; Illinois,907300,17,031,400500
Census Tract 4008; Cook County; Illinois,833200,17,031,400800
Census Tract 4101; Cook County; Illinois,1913300,17,031,410100
Census Tract 4102; Cook County; Illinois,795400,17,031,410200
Census Tract 4105; Cook County; Illinois,1467100,17,031,410500
Census Tract 4106; Cook County; Illinois,1272100,17,031,410600
Census Tract 4107; Cook County; Illinois,1308800,17,031,410700
Census Tract 4108; Cook County; Illinois,1502500,17,031,410800
Census Tract 4109; Cook County; Illinois,1612800,17,031,410900
Census Tract 4110; Cook County; Illinois,2046300,17,031,411000
Census Tract 4111; Cook County; Illinois,1028600,17,031,411100
Census Tract 4112; Cook County; Illinois,486700,17,031,411200
Census Tract 4201; Cook County; Illinois,640000,17,031,420100
Census Tract 4202; Cook County; Illinois,601000,17,031,420200
Census Tract 4203; Cook County; Illinois,569000,17,031,420300
Census Tract 4204; Cook County; Illinois,572700,17,031,420400
Census Tract 4205; Cook County; Illinois,592700,17,031,420500
Census Tract 4206; Cook County; Illinois,666600,17,031,420600
Census Tract 4207; Cook County; Illinois,601600,17,031,420700
Census Tract 4208; Cook County; Illinois,798300,17,031,420800
Census Tract 4212; Cook County; Illinois,420300,17,031,421200
Census Tract 4301.01; Cook County; Illinois,1450100,17,031,430101
Census Tract 4301.02; Cook County; Illinois,1716400,17,031,430102
Census Tract 4302; Cook County; Illinois,1686200,17,031,430200
Census Tract 4303; Cook County; Illinois,885100,17,031,430300
Census Tract 4304; Cook County; Illinois,907400,17,031,430400
Census Tract 4305; Cook County; Illinois,1397500,17,031,430500
Census Tract 4306; Cook County; Illinois,506100,17,031,430600
Census Tract 4307; Cook County; Illinois,1120600,17,031,430700
Census Tract 4308; Cook County; Illinois,468200,17,031,430800
Census Tract 4309; Cook County; Illinois,443600,17,031,430900
Census Tract 4312; Cook County; Illinois,231800,17,031,431200
Census Tract 4313.01; Cook County; Illinois,1144000,17,031,431301
Census Tract 4313.02; Cook County; Illinois,1351600,17,031,431302
Census Tract 4314; Cook County; Illinois,2561100,17,031,431400
Census Tract 4401.01; Cook County; Illinois,1897200,17,031,440101
Census Tract 4401.02; Cook County; Illinois,1225300,17,031,440102
Census Tract 4402.01; Cook County; Illinois,1683700,17,031,440201
Census Tract 4402.02; Cook County; Illinois,958600,17,031,440202
Census Tract 4403; Cook County; Illinois,676600,17,031,440300
Census Tract 4406; Cook County; Illinois,113800,17,031,440600
Census Tract 4407; Cook County; Illinois,143200,17,031,440700
Census Tract 4408; Cook County; Illinois,470200,17,031,440800
Census Tract 4409; Cook County; Illinois,413800,17,031,440900
Census Tract 4503; Cook County; Illinois,605200,17,031,450300
Census Tract 4601; Cook County; Illinois,610100,17,031,460100
Census Tract 4602; Cook County; Illinois,300400,17,031,460200
