NAME,B25060_001E,state,county,tract
"Census Tract 3819, Cook County, Illinois",155100,17,031,381900
"Census Tract 3901, Cook County, Illinois",469200,17,031,390100
"Census Tract 3902, Cook County, Illinois",349600,17,031,390200
"Census Tract 3903, Cook County, Illinois",842900,17,031,390300
"Census Tract 3904, Cook County, Illinois",620000,17,031,390400
"Census Tract 3905, Cook County, Illinois",746300,17,031,390500
"Census Tract 3906, Cook County, Illinois",489000,17,031,390600
"Census Tract 3907, Cook County, Illinois",2875600,17,031,390700
"Census Tract 4003, Cook County, Illinois",494100,17,031,400300
"Census Tract 4004, Cook County, Illinois",594800,17,031,400400
"Census Tract 4005, Cook County, Illinois",706700,17,031,400500
"Census Tract 4008, Cook County, Illinois",551800,17,031,400800
"Census Tract 4101, Cook County, Illinois",1545300,17,031,410100
"Census Tract 4102, Cook County, Illinois",626700,17,031,410200
"Census Tract 4105, Cook County, Illinois",1060400,17,031,410500
"Census Tract 4106, Cook County, Illinois",1205400,17,031,410600
"Census Tract 4107, Cook County, Illinois",941600,17,031,410700
"Census Tract 4108, Cook County, Illinois",1317200,17,031,410800
"Census Tract 4109, Cook County, Illinois",1255400,17,031,410900
"Census Tract 4110, Cook County, Illinois",1332000,17,031,411000
"Census Tract 4111, Cook County, Illinois",789000,17,031,411100
"Census Tract 4112, Cook County, Illinois",386900,17,031,411200
"Census Tract 4201, Cook County, Illinois",540100,17,031,420100
"Census Tract 4202, Cook County, Illinois",472300,17,031,420200
"Census Tract 4203, Cook County, Illinois",582300,17,031,420300
"Census Tract 4204, Cook County, Illinois",406500,17,031,420400
"Census Tract 4205, Cook County, Illinois",459600,17,031,420500
"Census Tract 4206, Cook County, Illinois",628900,17,031,420600
"Census Tract 4207, Cook County, Illinois",670800,17,031,420700
"Census Tract 4208, Cook County, Illinois",614400,17,031,420800
"Census Tract 4212, Cook County, Illinois",219500,17,031,421200
"Census Tract 4301.01, Cook County, Illinois",1065600,17,031,430101
"Census Tract 4301.02, Cook County, Illinois",1494400,17,031,430102
"Census Tract 4302, Cook County, Illinois",1598000,17,031,430200
"Census Tract 4303, Cook County, Illinois",641400,17,031,430300
"Census Tract 4304, Cook County, Illinois",593200,17,031,430400
"Census Tract 4305, Cook County, Illinois",1145300,17,031,430500
"Census Tract 4306, Cook County, Illinois",327900,17,031,430600
"Census Tract 4307, Cook County, Illinois",1097300,17,031,430700
"Census Tract 4308, Cook County, Illinois",393500,17,031,430800
"Census Tract 4309, Cook County, Illinois",398800,17,031,430900
"Census Tract 4312, Cook County, Illinois",274100,17,031,431200
"Census Tract 4313.01, Cook County, Illinois",982800,17,031,431301
"Census Tract 4313.02, Cook County, Illinois",927900,17,031,431302
"Census Tract 8263.03, Cook County, Illinois",334500,17,031,826303
"Census Tract 8263.04, Cook County, Illinois",508200,17,031,826304
"Census Tract 8264.01, Cook County, Illinois",494000,17,031,826401
"Census Tract 8264.02, Cook County, Illinois",580900,17,031,826402
"Census Tract 8265, Cook County, Illinois",762000,17,031,826500
"Census Tract 8266, Cook County, Illinois",709500,17,031,826600
"Census Tract 8267, Cook County, Illinois",1046900,17,031,826700
"Census Tract 8268, Cook County, Illinois",733000,17,031,826800
"Census Tract 8269.01, Cook County, Illinois",296600,17,031,826901
"Census Tract 8269.02, Cook County, Illinois",192700,17,031,826902
"Census Tract 8270, Cook County, Illinois",477700,17,031,827000
"Census Tract 8271, Cook County, Illinois",495100,17,031,827100
